lsoa11cd,apgroup_num,apgroup_name
W01001496,11412,W01001496
E01020633,11413,E01020633
E01021529,11414,E01021529
E01023596,11415,E01023596
E01009204,11416,E01009204
E01008894,11417,E01008894
E01023597,11418,E01023597
E01029938,11419,E01029938
E01016394,11420,E01016394
E01023516,11421,E01023516
E01032497,11422,E01032497
E01020724,11423,E01020724
E01021521,11424,E01021521
E01021528,11425,E01021528
E01010279,11426,E01010279
E01021523,11427,E01021523
E01012226,11428,E01012226
E01021520,11429,E01021520
E01028291,11430,E01028291
E01028210,11431,E01028210
E01028292,11432,E01028292
E01028213,11433,E01028213
E01028293,11434,E01028293
E01028212,11435,E01028212
E01023517,11436,E01023517
E01023595,11437,E01023595
E01014439,11438,E01014439
E01017875,11439,E01017875
E01000445,11440,E01000445
E01014438,11441,E01014438
E01017094,11442,E01017094
E01000444,11443,E01000444
E01025410,11444,E01025410
E01028211,11445,E01028211
E01000446,11446,E01000446
E01028334,11447,E01028334
E01022550,11448,E01022550
E01024557,11449,E01024557
E01022553,11450,E01022553
E01024556,11451,E01024556
E01022555,11452,E01022555
E01022552,11453,E01022552
E01031453,11454,E01031453
E01031450,11455,E01031450
E01024555,11456,E01024555
E01027273,11457,E01027273
E01024552,11458,E01024552
E01029276,11459,E01029276
E01027272,11460,E01027272
E01033211,11461,E01033211
E01033210,11462,E01033210
E01033291,11463,E01033291
E01033292,11464,E01033292
E01027275,11465,E01027275
